Difficulty,Word,Sentence Number,Text,Output Filename
1,cat,1,The cat is sleeping on the couch.,difficulty_1/cat_sentence1.wav
1,cat,2,I saw a black cat in the garden.,difficulty_1/cat_sentence2.wav
1,cat,3,My cat loves to play with yarn.,difficulty_1/cat_sentence3.wav
1,dog,1,The dog barked at the mailman.,difficulty_1/dog_sentence1.wav
1,dog,2,My dog likes to fetch the ball.,difficulty_1/dog_sentence2.wav
1,dog,3,The brown dog wagged its tail.,difficulty_1/dog_sentence3.wav
1,sun,1,The sun is shining brightly today.,difficulty_1/sun_sentence1.wav
1,sun,2,We love playing in the sun.,difficulty_1/sun_sentence2.wav
1,sun,3,The sun rises in the morning.,difficulty_1/sun_sentence3.wav
1,run,1,I can run very fast.,difficulty_1/run_sentence1.wav
1,run,2,Let's run to the park together.,difficulty_1/run_sentence2.wav
1,run,3,The children run around the playground.,difficulty_1/run_sentence3.wav
1,big,1,That is a big elephant.,difficulty_1/big_sentence1.wav
1,big,2,My brother wears big shoes.,difficulty_1/big_sentence2.wav
1,big,3,We live in a big house.,difficulty_1/big_sentence3.wav
1,red,1,I have a red crayon.,difficulty_1/red_sentence1.wav
1,red,2,The apple is bright red.,difficulty_1/red_sentence2.wav
1,red,3,She wore a red dress today.,difficulty_1/red_sentence3.wav
1,hat,1,I wear a hat when it's cold.,difficulty_1/hat_sentence1.wav
1,hat,2,The blue hat looks nice.,difficulty_1/hat_sentence2.wav
1,hat,3,Dad forgot his hat at home.,difficulty_1/hat_sentence3.wav
1,sit,1,Please sit down on the chair.,difficulty_1/sit_sentence1.wav
1,sit,2,We sit together at lunch.,difficulty_1/sit_sentence2.wav
1,sit,3,The dog will sit when you ask.,difficulty_1/sit_sentence3.wav
1,cup,1,I drink water from a cup.,difficulty_1/cup_sentence1.wav
1,cup,2,The cup is on the table.,difficulty_1/cup_sentence2.wav
1,cup,3,Mom filled the cup with juice.,difficulty_1/cup_sentence3.wav
1,bed,1,I sleep in my bed at night.,difficulty_1/bed_sentence1.wav
1,bed,2,The bed has soft pillows.,difficulty_1/bed_sentence2.wav
1,bed,3,Time to go to bed now.,difficulty_1/bed_sentence3.wav
1,mom,1,My mom makes the best cookies.,difficulty_1/mom_sentence1.wav
1,mom,2,Mom reads me stories at bedtime.,difficulty_1/mom_sentence2.wav
1,mom,3,I love my mom very much.,difficulty_1/mom_sentence3.wav
1,dad,1,Dad drives us to school.,difficulty_1/dad_sentence1.wav
1,dad,2,My dad is very tall.,difficulty_1/dad_sentence2.wav
1,dad,3,Dad helps me with my homework.,difficulty_1/dad_sentence3.wav
1,pet,1,I have a pet hamster.,difficulty_1/pet_sentence1.wav
1,pet,2,We take care of our pet every day.,difficulty_1/pet_sentence2.wav
1,pet,3,My pet likes to eat carrots.,difficulty_1/pet_sentence3.wav
1,fun,1,Playing games is so much fun.,difficulty_1/fun_sentence1.wav
1,fun,2,We had fun at the park today.,difficulty_1/fun_sentence2.wav
1,fun,3,Birthday parties are always fun.,difficulty_1/fun_sentence3.wav
1,hot,1,The soup is very hot.,difficulty_1/hot_sentence1.wav
1,hot,2,It feels hot outside today.,difficulty_1/hot_sentence2.wav
1,hot,3,"Be careful, the stove is hot.",difficulty_1/hot_sentence3.wav
1,top,1,The book is on top of the desk.,difficulty_1/top_sentence1.wav
1,top,2,I climbed to the top of the hill.,difficulty_1/top_sentence2.wav
1,top,3,The toy is on the top shelf.,difficulty_1/top_sentence3.wav
1,box,1,I put my toys in a box.,difficulty_1/box_sentence1.wav
1,box,2,The box is full of books.,difficulty_1/box_sentence2.wav
1,box,3,Can you open the box for me?,difficulty_1/box_sentence3.wav
1,fox,1,The fox has a bushy tail.,difficulty_1/fox_sentence1.wav
1,fox,2,We saw a red fox in the woods.,difficulty_1/fox_sentence2.wav
1,fox,3,The fox ran across the field.,difficulty_1/fox_sentence3.wav
1,yes,1,"Yes, I would like some ice cream.",difficulty_1/yes_sentence1.wav
1,yes,2,She said yes when I asked.,difficulty_1/yes_sentence2.wav
1,yes,3,"Yes, we can go to the park.",difficulty_1/yes_sentence3.wav
1,bus,1,The bus takes us to school.,difficulty_1/bus_sentence1.wav
1,bus,2,We wait for the yellow bus.,difficulty_1/bus_sentence2.wav
1,bus,3,The bus stops at the corner.,difficulty_1/bus_sentence3.wav
2,ball,1,Let's kick the ball around.,difficulty_2/ball_sentence1.wav
2,ball,2,The red ball bounced high.,difficulty_2/ball_sentence2.wav
2,ball,3,She threw the ball to her friend.,difficulty_2/ball_sentence3.wav
2,tree,1,The tree has green leaves.,difficulty_2/tree_sentence1.wav
2,tree,2,We climbed the tall tree.,difficulty_2/tree_sentence2.wav
2,tree,3,A bird lives in that tree.,difficulty_2/tree_sentence3.wav
2,book,1,I love reading this book.,difficulty_2/book_sentence1.wav
2,book,2,The book has many pictures.,difficulty_2/book_sentence2.wav
2,book,3,Can you hand me that book?,difficulty_2/book_sentence3.wav
2,fish,1,The fish swims in the water.,difficulty_2/fish_sentence1.wav
2,fish,2,We caught three fish today.,difficulty_2/fish_sentence2.wav
2,fish,3,My pet fish is orange and white.,difficulty_2/fish_sentence3.wav
2,bird,1,The bird is singing a song.,difficulty_2/bird_sentence1.wav
2,bird,2,A blue bird flew past the window.,difficulty_2/bird_sentence2.wav
2,bird,3,The bird built a nest in the tree.,difficulty_2/bird_sentence3.wav
2,cake,1,The birthday cake is delicious.,difficulty_2/cake_sentence1.wav
2,cake,2,Mom baked a chocolate cake.,difficulty_2/cake_sentence2.wav
2,cake,3,We shared the cake with everyone.,difficulty_2/cake_sentence3.wav
2,play,1,Let's play outside together.,difficulty_2/play_sentence1.wav
2,play,2,The children play in the park.,difficulty_2/play_sentence2.wav
2,play,3,I like to play with my friends.,difficulty_2/play_sentence3.wav
2,jump,1,I can jump really high.,difficulty_2/jump_sentence1.wav
2,jump,2,Let's jump over the puddle.,difficulty_2/jump_sentence2.wav
2,jump,3,The frog can jump very far.,difficulty_2/jump_sentence3.wav
2,swim,1,I learned how to swim last summer.,difficulty_2/swim_sentence1.wav
2,swim,2,Fish can swim underwater.,difficulty_2/swim_sentence2.wav
2,swim,3,We swim at the pool every week.,difficulty_2/swim_sentence3.wav
2,blue,1,The sky is bright blue today.,difficulty_2/blue_sentence1.wav
2,blue,2,I have a blue backpack.,difficulty_2/blue_sentence2.wav
2,blue,3,Her favorite color is blue.,difficulty_2/blue_sentence3.wav
2,green,1,The grass is green and fresh.,difficulty_2/green_sentence1.wav
2,green,2,I painted my room green.,difficulty_2/green_sentence2.wav
2,green,3,Trees have green leaves in spring.,difficulty_2/green_sentence3.wav
2,happy,1,I feel happy when I play.,difficulty_2/happy_sentence1.wav
2,happy,2,The happy puppy wagged its tail.,difficulty_2/happy_sentence2.wav
2,happy,3,Everyone looks happy today.,difficulty_2/happy_sentence3.wav
2,water,1,I drink water when I'm thirsty.,difficulty_2/water_sentence1.wav
2,water,2,The water in the pool is cold.,difficulty_2/water_sentence2.wav
2,water,3,Plants need water to grow.,difficulty_2/water_sentence3.wav
2,apple,1,I ate a red apple for lunch.,difficulty_2/apple_sentence1.wav
2,apple,2,The apple tastes sweet and juicy.,difficulty_2/apple_sentence2.wav
2,apple,3,Mom put an apple in my lunch box.,difficulty_2/apple_sentence3.wav
2,house,1,We live in a white house.,difficulty_2/house_sentence1.wav
2,house,2,The house has a big backyard.,difficulty_2/house_sentence2.wav
2,house,3,My friend's house is down the street.,difficulty_2/house_sentence3.wav
2,mouse,1,The little mouse ran away quickly.,difficulty_2/mouse_sentence1.wav
2,mouse,2,We saw a mouse in the barn.,difficulty_2/mouse_sentence2.wav
2,mouse,3,The mouse nibbled on the cheese.,difficulty_2/mouse_sentence3.wav
2,sleep,1,I need to sleep early tonight.,difficulty_2/sleep_sentence1.wav
2,sleep,2,The baby can sleep for hours.,difficulty_2/sleep_sentence2.wav
2,sleep,3,Let's sleep under the stars tonight.,difficulty_2/sleep_sentence3.wav
2,dream,1,I had a wonderful dream last night.,difficulty_2/dream_sentence1.wav
2,dream,2,"In my dream, I could fly.",difficulty_2/dream_sentence2.wav
2,dream,3,What did you dream about?,difficulty_2/dream_sentence3.wav
2,smile,1,Your smile makes me happy.,difficulty_2/smile_sentence1.wav
2,smile,2,She has a big smile on her face.,difficulty_2/smile_sentence2.wav
2,smile,3,Don't forget to smile for the camera.,difficulty_2/smile_sentence3.wav
2,light,1,"Turn on the light, please.",difficulty_2/light_sentence1.wav
2,light,2,The light from the sun is bright.,difficulty_2/light_sentence2.wav
2,light,3,My backpack is very light.,difficulty_2/light_sentence3.wav
3,friend,1,The word friend is used in many ways.,difficulty_3/friend_sentence1.wav
3,friend,2,The teacher explained what friend means.,difficulty_3/friend_sentence2.wav
3,friend,3,Many people find friend challenging to spell.,difficulty_3/friend_sentence3.wav
3,school,1,The word school is used in many ways.,difficulty_3/school_sentence1.wav
3,school,2,The teacher explained what school means.,difficulty_3/school_sentence2.wav
3,school,3,Many people find school challenging to spell.,difficulty_3/school_sentence3.wav
3,write,1,The word write is used in many ways.,difficulty_3/write_sentence1.wav
3,write,2,The teacher explained what write means.,difficulty_3/write_sentence2.wav
3,write,3,Many people find write challenging to spell.,difficulty_3/write_sentence3.wav
3,plant,1,The word plant is used in many ways.,difficulty_3/plant_sentence1.wav
3,plant,2,The teacher explained what plant means.,difficulty_3/plant_sentence2.wav
3,plant,3,Many people find plant challenging to spell.,difficulty_3/plant_sentence3.wav
3,cloud,1,The word cloud is used in many ways.,difficulty_3/cloud_sentence1.wav
3,cloud,2,The teacher explained what cloud means.,difficulty_3/cloud_sentence2.wav
3,cloud,3,Many people find cloud challenging to spell.,difficulty_3/cloud_sentence3.wav
3,train,1,The word train is used in many ways.,difficulty_3/train_sentence1.wav
3,train,2,The teacher explained what train means.,difficulty_3/train_sentence2.wav
3,train,3,Many people find train challenging to spell.,difficulty_3/train_sentence3.wav
3,beach,1,The word beach is used in many ways.,difficulty_3/beach_sentence1.wav
3,beach,2,The teacher explained what beach means.,difficulty_3/beach_sentence2.wav
3,beach,3,Many people find beach challenging to spell.,difficulty_3/beach_sentence3.wav
3,clean,1,The word clean is used in many ways.,difficulty_3/clean_sentence1.wav
3,clean,2,The teacher explained what clean means.,difficulty_3/clean_sentence2.wav
3,clean,3,Many people find clean challenging to spell.,difficulty_3/clean_sentence3.wav
3,bring,1,The word bring is used in many ways.,difficulty_3/bring_sentence1.wav
3,bring,2,The teacher explained what bring means.,difficulty_3/bring_sentence2.wav
3,bring,3,Many people find bring challenging to spell.,difficulty_3/bring_sentence3.wav
3,thing,1,The word thing is used in many ways.,difficulty_3/thing_sentence1.wav
3,thing,2,The teacher explained what thing means.,difficulty_3/thing_sentence2.wav
3,thing,3,Many people find thing challenging to spell.,difficulty_3/thing_sentence3.wav
3,laugh,1,The word laugh is used in many ways.,difficulty_3/laugh_sentence1.wav
3,laugh,2,The teacher explained what laugh means.,difficulty_3/laugh_sentence2.wav
3,laugh,3,Many people find laugh challenging to spell.,difficulty_3/laugh_sentence3.wav
3,watch,1,The word watch is used in many ways.,difficulty_3/watch_sentence1.wav
3,watch,2,The teacher explained what watch means.,difficulty_3/watch_sentence2.wav
3,watch,3,Many people find watch challenging to spell.,difficulty_3/watch_sentence3.wav
3,catch,1,The word catch is used in many ways.,difficulty_3/catch_sentence1.wav
3,catch,2,The teacher explained what catch means.,difficulty_3/catch_sentence2.wav
3,catch,3,Many people find catch challenging to spell.,difficulty_3/catch_sentence3.wav
3,match,1,The word match is used in many ways.,difficulty_3/match_sentence1.wav
3,match,2,The teacher explained what match means.,difficulty_3/match_sentence2.wav
3,match,3,Many people find match challenging to spell.,difficulty_3/match_sentence3.wav
3,patch,1,The word patch is used in many ways.,difficulty_3/patch_sentence1.wav
3,patch,2,The teacher explained what patch means.,difficulty_3/patch_sentence2.wav
3,patch,3,Many people find patch challenging to spell.,difficulty_3/patch_sentence3.wav
3,lunch,1,The word lunch is used in many ways.,difficulty_3/lunch_sentence1.wav
3,lunch,2,The teacher explained what lunch means.,difficulty_3/lunch_sentence2.wav
3,lunch,3,Many people find lunch challenging to spell.,difficulty_3/lunch_sentence3.wav
3,bench,1,The word bench is used in many ways.,difficulty_3/bench_sentence1.wav
3,bench,2,The teacher explained what bench means.,difficulty_3/bench_sentence2.wav
3,bench,3,Many people find bench challenging to spell.,difficulty_3/bench_sentence3.wav
3,branch,1,The word branch is used in many ways.,difficulty_3/branch_sentence1.wav
3,branch,2,The teacher explained what branch means.,difficulty_3/branch_sentence2.wav
3,branch,3,Many people find branch challenging to spell.,difficulty_3/branch_sentence3.wav
3,crunch,1,The word crunch is used in many ways.,difficulty_3/crunch_sentence1.wav
3,crunch,2,The teacher explained what crunch means.,difficulty_3/crunch_sentence2.wav
3,crunch,3,Many people find crunch challenging to spell.,difficulty_3/crunch_sentence3.wav
3,french,1,The word french is used in many ways.,difficulty_3/french_sentence1.wav
3,french,2,The teacher explained what french means.,difficulty_3/french_sentence2.wav
3,french,3,Many people find french challenging to spell.,difficulty_3/french_sentence3.wav
4,beautiful,1,The word beautiful is used in many ways.,difficulty_4/beautiful_sentence1.wav
4,beautiful,2,The teacher explained what beautiful means.,difficulty_4/beautiful_sentence2.wav
4,beautiful,3,Many people find beautiful challenging to spell.,difficulty_4/beautiful_sentence3.wav
4,different,1,The word different is used in many ways.,difficulty_4/different_sentence1.wav
4,different,2,The teacher explained what different means.,difficulty_4/different_sentence2.wav
4,different,3,Many people find different challenging to spell.,difficulty_4/different_sentence3.wav
4,important,1,The word important is used in many ways.,difficulty_4/important_sentence1.wav
4,important,2,The teacher explained what important means.,difficulty_4/important_sentence2.wav
4,important,3,Many people find important challenging to spell.,difficulty_4/important_sentence3.wav
4,together,1,The word together is used in many ways.,difficulty_4/together_sentence1.wav
4,together,2,The teacher explained what together means.,difficulty_4/together_sentence2.wav
4,together,3,Many people find together challenging to spell.,difficulty_4/together_sentence3.wav
4,remember,1,The word remember is used in many ways.,difficulty_4/remember_sentence1.wav
4,remember,2,The teacher explained what remember means.,difficulty_4/remember_sentence2.wav
4,remember,3,Many people find remember challenging to spell.,difficulty_4/remember_sentence3.wav
4,between,1,The word between is used in many ways.,difficulty_4/between_sentence1.wav
4,between,2,The teacher explained what between means.,difficulty_4/between_sentence2.wav
4,between,3,Many people find between challenging to spell.,difficulty_4/between_sentence3.wav
4,another,1,The word another is used in many ways.,difficulty_4/another_sentence1.wav
4,another,2,The teacher explained what another means.,difficulty_4/another_sentence2.wav
4,another,3,Many people find another challenging to spell.,difficulty_4/another_sentence3.wav
4,through,1,The word through is used in many ways.,difficulty_4/through_sentence1.wav
4,through,2,The teacher explained what through means.,difficulty_4/through_sentence2.wav
4,through,3,Many people find through challenging to spell.,difficulty_4/through_sentence3.wav
4,thought,1,The word thought is used in many ways.,difficulty_4/thought_sentence1.wav
4,thought,2,The teacher explained what thought means.,difficulty_4/thought_sentence2.wav
4,thought,3,Many people find thought challenging to spell.,difficulty_4/thought_sentence3.wav
4,brought,1,The word brought is used in many ways.,difficulty_4/brought_sentence1.wav
4,brought,2,The teacher explained what brought means.,difficulty_4/brought_sentence2.wav
4,brought,3,Many people find brought challenging to spell.,difficulty_4/brought_sentence3.wav
4,daughter,1,The word daughter is used in many ways.,difficulty_4/daughter_sentence1.wav
4,daughter,2,The teacher explained what daughter means.,difficulty_4/daughter_sentence2.wav
4,daughter,3,Many people find daughter challenging to spell.,difficulty_4/daughter_sentence3.wav
4,neighbor,1,The word neighbor is used in many ways.,difficulty_4/neighbor_sentence1.wav
4,neighbor,2,The teacher explained what neighbor means.,difficulty_4/neighbor_sentence2.wav
4,neighbor,3,Many people find neighbor challenging to spell.,difficulty_4/neighbor_sentence3.wav
4,weight,1,The word weight is used in many ways.,difficulty_4/weight_sentence1.wav
4,weight,2,The teacher explained what weight means.,difficulty_4/weight_sentence2.wav
4,weight,3,Many people find weight challenging to spell.,difficulty_4/weight_sentence3.wav
4,height,1,The word height is used in many ways.,difficulty_4/height_sentence1.wav
4,height,2,The teacher explained what height means.,difficulty_4/height_sentence2.wav
4,height,3,Many people find height challenging to spell.,difficulty_4/height_sentence3.wav
4,straight,1,The word straight is used in many ways.,difficulty_4/straight_sentence1.wav
4,straight,2,The teacher explained what straight means.,difficulty_4/straight_sentence2.wav
4,straight,3,Many people find straight challenging to spell.,difficulty_4/straight_sentence3.wav
4,caught,1,The word caught is used in many ways.,difficulty_4/caught_sentence1.wav
4,caught,2,The teacher explained what caught means.,difficulty_4/caught_sentence2.wav
4,caught,3,Many people find caught challenging to spell.,difficulty_4/caught_sentence3.wav
4,taught,1,The word taught is used in many ways.,difficulty_4/taught_sentence1.wav
4,taught,2,The teacher explained what taught means.,difficulty_4/taught_sentence2.wav
4,taught,3,Many people find taught challenging to spell.,difficulty_4/taught_sentence3.wav
4,bought,1,The word bought is used in many ways.,difficulty_4/bought_sentence1.wav
4,bought,2,The teacher explained what bought means.,difficulty_4/bought_sentence2.wav
4,bought,3,Many people find bought challenging to spell.,difficulty_4/bought_sentence3.wav
4,fought,1,The word fought is used in many ways.,difficulty_4/fought_sentence1.wav
4,fought,2,The teacher explained what fought means.,difficulty_4/fought_sentence2.wav
4,fought,3,Many people find fought challenging to spell.,difficulty_4/fought_sentence3.wav
4,sought,1,The word sought is used in many ways.,difficulty_4/sought_sentence1.wav
4,sought,2,The teacher explained what sought means.,difficulty_4/sought_sentence2.wav
4,sought,3,Many people find sought challenging to spell.,difficulty_4/sought_sentence3.wav
5,character,1,The word character is used in many ways.,difficulty_5/character_sentence1.wav
5,character,2,The teacher explained what character means.,difficulty_5/character_sentence2.wav
5,character,3,Many people find character challenging to spell.,difficulty_5/character_sentence3.wav
5,paragraph,1,The word paragraph is used in many ways.,difficulty_5/paragraph_sentence1.wav
5,paragraph,2,The teacher explained what paragraph means.,difficulty_5/paragraph_sentence2.wav
5,paragraph,3,Many people find paragraph challenging to spell.,difficulty_5/paragraph_sentence3.wav
5,adventure,1,The word adventure is used in many ways.,difficulty_5/adventure_sentence1.wav
5,adventure,2,The teacher explained what adventure means.,difficulty_5/adventure_sentence2.wav
5,adventure,3,Many people find adventure challenging to spell.,difficulty_5/adventure_sentence3.wav
5,attention,1,The word attention is used in many ways.,difficulty_5/attention_sentence1.wav
5,attention,2,The teacher explained what attention means.,difficulty_5/attention_sentence2.wav
5,attention,3,Many people find attention challenging to spell.,difficulty_5/attention_sentence3.wav
5,celebrate,1,The word celebrate is used in many ways.,difficulty_5/celebrate_sentence1.wav
5,celebrate,2,The teacher explained what celebrate means.,difficulty_5/celebrate_sentence2.wav
5,celebrate,3,Many people find celebrate challenging to spell.,difficulty_5/celebrate_sentence3.wav
5,community,1,The word community is used in many ways.,difficulty_5/community_sentence1.wav
5,community,2,The teacher explained what community means.,difficulty_5/community_sentence2.wav
5,community,3,Many people find community challenging to spell.,difficulty_5/community_sentence3.wav
5,continue,1,The word continue is used in many ways.,difficulty_5/continue_sentence1.wav
5,continue,2,The teacher explained what continue means.,difficulty_5/continue_sentence2.wav
5,continue,3,Many people find continue challenging to spell.,difficulty_5/continue_sentence3.wav
5,describe,1,The word describe is used in many ways.,difficulty_5/describe_sentence1.wav
5,describe,2,The teacher explained what describe means.,difficulty_5/describe_sentence2.wav
5,describe,3,Many people find describe challenging to spell.,difficulty_5/describe_sentence3.wav
5,discover,1,The word discover is used in many ways.,difficulty_5/discover_sentence1.wav
5,discover,2,The teacher explained what discover means.,difficulty_5/discover_sentence2.wav
5,discover,3,Many people find discover challenging to spell.,difficulty_5/discover_sentence3.wav
5,education,1,The word education is used in many ways.,difficulty_5/education_sentence1.wav
5,education,2,The teacher explained what education means.,difficulty_5/education_sentence2.wav
5,education,3,Many people find education challenging to spell.,difficulty_5/education_sentence3.wav
5,especially,1,The word especially is used in many ways.,difficulty_5/especially_sentence1.wav
5,especially,2,The teacher explained what especially means.,difficulty_5/especially_sentence2.wav
5,especially,3,Many people find especially challenging to spell.,difficulty_5/especially_sentence3.wav
5,experience,1,The word experience is used in many ways.,difficulty_5/experience_sentence1.wav
5,experience,2,The teacher explained what experience means.,difficulty_5/experience_sentence2.wav
5,experience,3,Many people find experience challenging to spell.,difficulty_5/experience_sentence3.wav
5,favorite,1,The word favorite is used in many ways.,difficulty_5/favorite_sentence1.wav
5,favorite,2,The teacher explained what favorite means.,difficulty_5/favorite_sentence2.wav
5,favorite,3,Many people find favorite challenging to spell.,difficulty_5/favorite_sentence3.wav
5,government,1,The word government is used in many ways.,difficulty_5/government_sentence1.wav
5,government,2,The teacher explained what government means.,difficulty_5/government_sentence2.wav
5,government,3,Many people find government challenging to spell.,difficulty_5/government_sentence3.wav
5,important,1,The word important is used in many ways.,difficulty_5/important_sentence1.wav
5,important,2,The teacher explained what important means.,difficulty_5/important_sentence2.wav
5,important,3,Many people find important challenging to spell.,difficulty_5/important_sentence3.wav
5,interested,1,The word interested is used in many ways.,difficulty_5/interested_sentence1.wav
5,interested,2,The teacher explained what interested means.,difficulty_5/interested_sentence2.wav
5,interested,3,Many people find interested challenging to spell.,difficulty_5/interested_sentence3.wav
5,knowledge,1,The word knowledge is used in many ways.,difficulty_5/knowledge_sentence1.wav
